MSSubClass,OverallCond,TotalBsmtSF,GrLivArea,FullBath,BedroomAbvGr,TotRmsAbvGrd,GarageArea,Age,SalePrice
60,5,1482,2262,2,4,10,749,5,305000
30,3,864,864,1,2,5,0,94,67000
60,7,1522,2614,2,4,9,624,34,240000
20,6,980,980,1,3,6,484,32,135000
160,5,756,1512,2,2,4,440,7,168500
60,5,732,1790,1,4,8,484,34,165150
20,6,1116,1116,1,3,5,440,48,160000
20,5,978,1422,1,3,6,286,47,139900
80,6,1156,1520,1,3,7,364,55,153000
60,5,1040,2080,1,5,9,504,38,135000
80,5,1248,1350,1,3,6,520,44,168500
70,6,636,1750,1,3,8,240,126,124000
120,5,1554,1554,2,2,6,627,1,209500
20,5,1386,1411,2,3,6,544,32,82500
20,7,1056,1056,1,3,6,260,53,139400
90,5,1056,1056,0,0,4,576,30,144000
190,7,1440,3395,2,8,14,0,93,200000
30,3,264,800,1,1,4,0,73,60000
190,4,811,1387,2,3,7,256,55,93000
30,7,796,796,1,2,4,0,98,85000
120,5,1520,1567,2,1,7,648,0,264561
120,5,1518,1518,1,1,6,588,5,274000
60,5,1057,1929,2,3,7,650,6,226000
80,7,1952,2704,2,4,9,538,37,345000
60,5,780,1620,2,4,7,462,38,152000
20,5,1766,1766,2,2,7,478,0,370878
20,5,981,981,1,3,5,576,36,143250
20,5,0,1048,1,3,7,420,58,98300
20,5,1094,1094,1,3,5,495,55,155000
60,5,756,1839,1,4,7,442,44,155000
180,6,630,630,1,1,3,0,37,84500
60,6,813,1665,2,3,7,562,1,205950
70,5,755,1510,1,4,7,296,69,108000
60,5,880,1716,2,2,7,512,13,191000
50,7,756,1469,1,3,7,216,102,135000
20,6,2109,2113,2,2,7,839,13,350000
160,5,525,1092,1,3,6,264,39,88000
20,7,1053,1053,1,3,5,312,49,145500
70,6,776,1502,1,3,6,270,77,149000
50,5,912,1458,1,3,6,330,62,97500
20,7,1486,1486,1,3,7,480,45,167000
60,7,793,1935,2,3,7,550,31,197900
60,7,1629,2448,2,4,8,711,15,402000
20,3,1392,1392,1,2,5,576,41,110000
85,5,1138,1181,2,3,6,588,36,137500
20,5,2077,2097,1,1,8,1134,1,423000
60,5,1406,1936,2,3,7,504,6,230500
60,5,1021,2380,2,3,7,596,42,129000
20,5,1408,1679,2,3,7,575,14,193500
20,6,1188,1437,1,3,6,576,50,168000
30,5,700,1180,1,2,5,252,84,137500
60,5,738,1476,2,3,7,540,4,173500
70,6,672,1369,2,3,6,300,84,103600
20,6,1208,1208,1,3,6,546,29,165000
20,7,1477,1839,2,3,7,416,50,257500
20,6,1136,1136,1,3,5,384,43,140000
160,6,855,1441,2,3,7,440,31,148500
70,2,1095,1774,2,4,8,779,106,87000
30,8,768,792,1,2,5,240,85,109500
20,5,2046,2046,2,3,7,834,1,372500
20,5,988,988,1,3,5,572,46,128500
120,5,923,923,2,2,5,264,30,143000
50,5,793,1520,1,3,6,281,77,159434
120,5,1291,1291,1,2,6,431,12,173000
20,5,1626,1668,2,3,7,702,5,285000
60,5,1195,1839,2,4,7,486,12,221000
160,5,1190,2090,2,3,6,577,23,207500
60,6,874,1761,3,3,7,578,0,227875
160,5,551,1102,2,2,4,480,3,148800
20,6,1419,1419,2,2,7,567,0,392000
120,5,1362,1362,2,2,6,460,2,194700
120,5,848,848,1,1,3,420,4,141000
60,6,2444,4316,3,4,10,832,13,755000
60,5,1210,2519,2,4,9,628,17,335000
30,6,1073,1073,1,2,4,326,85,108480
50,6,927,1539,1,3,5,576,73,141500
20,6,1112,1137,2,2,5,551,19,176000
30,7,616,616,1,2,4,205,85,89000
20,7,980,1148,1,2,6,308,54,123500
20,8,894,894,1,3,5,336,45,138500
120,5,1391,1391,2,2,5,530,4,196000
20,5,1800,1800,2,3,7,765,4,312500
20,5,1164,1164,1,3,6,528,37,140000
60,5,1234,2576,2,4,10,666,0,361919
190,9,360,1812,2,4,8,672,110,140000
20,5,1473,1484,2,3,7,606,6,213000
190,5,0,1092,2,3,7,0,80,55000
20,5,1643,1824,2,2,5,739,36,302000
120,5,1324,1324,2,2,6,550,3,254000
60,5,728,1456,2,3,8,400,0,179540
20,7,876,904,1,3,6,408,42,109900
30,6,270,729,1,2,5,0,73,52000
50,7,859,1178,1,2,7,384,110,102776
120,5,1228,1228,2,2,5,472,20,189000
190,5,960,960,1,3,6,576,36,129000
60,8,725,1479,2,3,6,475,34,130500
20,5,1064,1350,2,3,7,478,35,165000
70,8,718,2554,1,3,8,704,117,159500
20,6,1176,1178,1,3,5,439,35,157000
60,5,1311,2418,2,3,9,983,15,341000
20,6,971,971,1,3,5,300,37,128500
120,5,1742,1742,2,2,5,564,21,275000
120,5,848,848,1,1,3,420,6,143000
20,7,864,864,1,3,5,463,39,124500
50,6,941,1470,2,4,7,548,54,135000
20,5,1698,1698,2,3,8,768,2,320000
20,6,864,864,1,3,5,660,39,120500
20,9,880,1680,2,3,5,540,21,222000
20,5,1232,1232,2,2,6,632,2,194500
90,5,1584,1776,2,4,9,888,51,110000
30,5,780,1208,1,2,5,539,84,103000
120,5,1595,1616,2,2,5,608,15,236500
80,5,868,1146,2,3,6,438,4,187500
60,5,1153,2031,2,3,8,541,10,222500
20,6,864,1144,1,3,6,264,48,131400
20,5,948,948,1,3,6,300,39,108000
75,7,880,1768,1,2,6,320,92,163000
90,4,0,1040,2,2,6,400,56,93500
60,5,893,1801,2,3,8,800,1,239900
90,5,1200,1200,3,3,5,0,22,179000
60,5,864,1728,2,3,7,572,5,190000
70,7,264,1432,2,2,7,360,97,132000
20,8,912,912,1,3,5,288,47,142000
20,5,1349,1349,2,3,6,539,7,179000
80,6,520,1464,2,3,6,480,46,175000
120,5,1337,1337,2,2,5,462,15,180000
60,9,1142,2715,3,4,11,831,32,299800
60,5,952,2256,2,4,8,554,9,236000
70,7,1240,2640,1,4,8,864,129,265979
20,5,1720,1720,2,3,7,527,14,260400
50,3,0,1529,2,4,9,240,64,98000
50,7,576,1140,1,3,7,0,100,96500
60,5,660,1320,2,3,6,400,4,162000
20,5,1479,1494,2,3,6,576,9,217000
60,5,1030,2098,2,3,8,878,1,275500
20,8,1026,1026,1,3,5,440,40,156000
160,5,729,1471,2,3,6,440,10,172500
60,5,866,1768,2,3,7,578,2,212000
60,5,672,1386,2,3,6,440,32,158900
160,5,744,1501,2,3,6,440,9,179400
60,5,1318,2531,2,4,9,752,12,290000
20,6,864,864,1,2,5,300,50,127500
30,5,1145,1301,1,2,5,440,85,100000
60,5,756,1547,2,3,7,614,1,215200
60,5,1252,2365,2,3,8,856,10,337000
120,5,1494,1494,1,2,6,481,11,270000
20,5,1498,1506,2,2,6,592,0,264132
60,5,980,1714,2,3,7,496,22,196500
50,7,983,1750,2,4,7,423,68,160000
20,5,1860,1836,2,3,8,484,2,216837
60,5,1650,3279,3,4,12,841,7,538000
85,5,858,858,1,2,5,576,27,134900
20,5,836,1220,1,2,6,396,55,102000
80,5,1029,1117,1,3,6,672,34,107000
20,5,912,912,1,2,5,275,49,114500
20,5,1935,1973,2,3,9,895,1,395000
120,5,1204,1204,2,2,5,412,11,162000
20,5,1614,1614,2,3,7,865,1,221500
20,5,864,894,1,3,5,440,32,142500
90,5,0,2020,2,4,10,630,30,144000
90,5,975,1004,1,2,4,504,29,135000
20,5,1237,1253,2,3,6,402,12,176000
60,5,761,1603,2,3,7,484,14,175900
20,5,1413,1430,2,3,6,605,8,187100
85,6,1097,1110,1,1,4,602,31,165500
75,6,742,1484,2,3,9,0,94,128000
20,5,1372,1342,2,3,7,457,42,161500
50,6,686,1652,2,4,7,416,95,139000
60,5,956,2084,2,4,8,618,6,233000
20,7,901,901,1,2,4,281,54,107900
60,8,832,2087,2,5,9,444,41,187500
120,5,1145,1145,2,2,5,397,4,160200
80,5,1029,1062,1,3,5,539,31,146800
60,5,1117,2013,2,3,8,455,11,269790
20,5,1496,1496,2,3,7,474,0,225000
60,5,712,1895,2,3,7,409,14,194500
60,6,650,1564,2,3,7,476,30,171000
20,5,660,1285,1,3,7,528,30,143500
20,5,773,773,1,2,4,240,55,110000
60,5,1926,3140,3,4,11,820,1,485000
50,7,731,1768,1,3,7,240,70,175000
60,5,616,1688,2,4,8,603,11,200000
30,7,1196,1196,1,2,5,440,91,109900
60,5,728,1456,2,3,7,410,3,189000
60,5,1734,2822,3,4,12,1020,1,582933
20,5,936,1128,1,2,5,286,52,118000
20,5,1417,1428,2,3,6,554,0,227680
80,5,980,980,2,3,6,384,39,135500
70,6,1324,1576,1,3,6,528,86,223500
80,5,1024,1086,1,3,6,484,40,159950
75,5,849,2138,2,2,11,360,111,106000
20,6,1040,1309,1,3,5,484,32,181000
120,5,848,848,1,1,4,420,4,144500
20,5,540,1044,1,2,4,504,58,55993
20,6,1442,1442,1,4,7,301,49,157900
50,7,686,1250,1,3,7,280,88,116000
20,5,1649,1661,2,3,6,598,12,224900
20,6,1008,1008,1,2,4,275,52,137000
20,5,1568,1689,2,3,7,857,6,271000
80,7,1010,1052,1,3,6,440,39,155000
120,5,1358,1358,2,2,6,484,1,224000
60,5,798,1640,2,3,6,595,5,183000
20,4,936,936,1,2,4,576,56,93000
60,5,847,1733,2,3,7,433,4,225000
50,7,778,1489,2,3,7,240,69,139500
20,5,1489,1489,2,3,7,776,0,232600
20,5,2078,2084,2,2,7,1220,1,385000
45,6,784,784,1,2,5,0,84,109500
20,5,1454,1434,2,3,6,527,8,189000
60,5,1013,2126,2,3,7,538,42,185000
160,5,600,1223,2,2,4,480,1,147400
20,5,1392,1392,1,3,6,458,51,166000
160,5,600,1200,2,2,4,480,1,151000
60,6,941,1829,2,3,7,613,7,237000
20,6,1516,1516,1,3,6,472,45,167000
20,6,1144,1144,1,3,6,456,47,139950
20,7,1067,1067,2,2,4,436,60,128000
30,6,1559,1559,1,2,5,812,59,153500
160,5,483,987,1,2,5,264,35,100000
20,6,1099,1099,1,3,6,352,13,144000
50,6,768,1200,1,3,6,240,62,130500
70,8,672,1482,2,4,7,400,83,140000
70,8,650,1539,2,3,8,686,104,157500
80,7,1127,1165,1,3,6,490,42,174900
90,4,1800,1800,2,6,10,0,46,141000
50,8,876,1416,1,4,7,720,93,153900
85,5,1390,1701,2,3,6,611,32,171000
60,5,740,1775,2,3,7,425,16,213000
20,6,864,864,1,3,5,338,37,133500
50,8,907,2358,3,5,10,360,100,240000
80,7,528,1855,2,3,7,512,31,187000
120,5,848,848,1,1,3,420,4,131500
120,5,1273,1456,2,2,7,400,3,215000
75,5,918,1646,2,4,7,240,66,164000
80,6,1127,1445,1,3,7,645,45,158000
20,4,1763,1779,1,3,6,454,51,170000
20,8,1040,1040,1,3,6,260,48,127000
80,6,940,1026,1,3,5,576,30,147000
60,5,702,1481,2,3,6,343,15,174000
20,5,1090,1370,2,3,6,479,33,152000
60,7,1054,2654,2,4,9,619,38,250000
50,8,912,1426,1,3,7,216,89,189950
190,4,1039,1039,1,3,6,504,45,131500
20,5,1040,1097,2,3,6,480,26,152000
20,5,1148,1148,1,3,6,672,50,132500
20,5,1372,1372,2,3,6,529,1,250580
20,6,1002,1002,1,3,5,902,39,148500
20,5,1638,1646,2,3,6,870,1,248900
20,5,1040,1120,1,3,5,544,46,129000
60,6,0,2320,2,2,7,672,58,169000
60,5,1050,1949,2,3,8,574,17,236000
20,5,894,894,1,2,5,308,47,109500
60,5,804,1682,2,3,7,523,12,200500
20,7,105,910,1,3,5,414,55,116000
40,7,832,1268,1,3,6,288,60,133000
50,6,676,1131,1,3,5,200,68,66500
60,5,1184,2610,2,4,11,550,0,303477
20,5,1064,1040,1,3,5,648,44,132250
60,5,1462,2224,2,4,10,738,5,350000
85,7,1109,1155,1,3,6,576,49,148000
20,8,864,864,1,3,6,336,31,136500
20,5,1090,1090,1,2,5,450,2,157000
50,5,1156,1717,2,3,7,400,17,187500
60,5,808,1593,2,3,7,389,17,178000
75,5,795,2230,1,5,10,440,94,118500
20,5,892,892,1,3,5,288,42,100000
120,5,1698,1709,2,2,5,506,9,328900
90,5,1626,1712,2,4,8,588,47,145000
50,7,816,1393,1,3,8,300,53,135500
20,6,2217,2217,2,4,8,621,37,268000
20,4,1505,1505,1,2,6,505,56,149500
50,7,672,924,1,3,6,576,58,122900
60,5,918,1683,2,3,7,440,31,172500
20,8,1059,1068,1,3,6,264,43,154500
20,5,1383,1383,1,3,6,354,54,165000
90,5,0,1535,2,4,8,400,30,118858
60,5,780,1796,1,4,8,483,45,140000
30,6,951,951,1,2,6,327,70,106500
90,5,0,2240,2,6,12,528,30,142953
20,5,2330,2364,2,2,11,820,1,611657
20,7,912,1236,1,3,6,288,45,135000
20,6,858,858,1,2,4,684,36,110000
20,7,992,1306,1,2,5,756,52,153000
60,5,783,1509,2,3,8,393,3,180000
20,5,1670,1670,2,3,7,690,0,240000
20,6,876,902,1,3,6,288,40,125500
20,5,1056,1063,1,3,6,280,56,128000
20,5,1623,1636,2,3,8,865,1,255000
50,7,1017,2057,1,3,6,180,70,250000
20,5,864,902,1,2,5,484,23,131000
60,5,742,1484,2,3,8,390,4,174000
90,5,1105,2274,2,5,12,480,50,154300
20,7,1268,1268,1,3,5,252,32,143500
30,7,768,1015,1,3,6,450,81,88000
90,6,1001,2002,2,4,8,871,58,145000
160,5,612,1224,2,2,4,528,0,173733
160,5,546,1092,1,3,6,286,37,75000
20,3,480,480,0,1,4,308,57,35311
20,6,1134,1229,1,3,6,284,53,135000
60,5,1104,2127,2,4,8,833,16,238000
20,8,1184,1414,1,3,6,601,50,176500
60,5,928,1721,2,3,7,471,13,201000
90,7,1272,2200,2,4,9,0,108,145900
20,5,1316,1316,2,3,6,397,1,169990
120,5,1604,1617,2,2,5,533,15,193000
20,6,1686,1686,2,3,7,612,26,207500
20,6,1126,1126,2,3,6,540,31,175000
60,5,1181,2374,2,4,10,656,4,285000
60,5,832,1978,2,4,9,486,40,176000
20,5,1753,1788,2,3,7,522,8,236500
60,5,964,2236,2,4,8,642,9,222000
20,5,1466,1466,2,3,7,610,2,201000
20,6,925,925,1,2,5,429,44,117500
20,5,1905,1905,2,3,8,788,1,320000
20,5,1500,1500,2,3,6,570,5,190000
20,7,585,2069,2,4,9,505,48,242000
30,5,600,747,1,1,5,528,80,79900
20,5,1176,1200,2,2,5,555,6,184900
60,5,1113,1971,2,3,8,689,4,253000
60,5,1391,1962,2,3,7,868,0,239799
70,7,1032,2403,2,4,10,349,70,244400
90,5,1728,1728,2,4,8,574,30,150900
60,5,992,2060,2,3,8,390,10,214000
90,3,1440,1440,2,4,8,0,30,150000
90,4,1632,1632,2,4,8,576,40,143000
20,6,819,1344,1,3,7,525,51,137500
50,6,1088,1869,1,2,7,456,119,124900
80,6,1144,1144,1,3,6,796,47,143000
20,5,1616,1629,2,3,9,808,5,270000
60,5,936,1776,2,3,7,474,4,192500
20,7,1161,1381,1,3,5,676,38,197500
20,8,864,864,1,3,5,720,57,129000
20,5,828,965,1,3,6,300,41,119900
85,8,768,768,1,2,5,396,37,133900
60,4,784,1968,2,4,7,530,39,172000
90,5,945,980,2,4,4,0,31,127500
90,6,979,1958,2,4,8,492,61,145000
160,6,561,1229,1,2,5,462,29,124000
20,5,1057,1057,1,3,6,576,45,132000
20,5,1337,1337,2,3,6,531,4,185000
160,5,696,1416,2,3,6,484,11,155000
20,7,858,858,1,2,4,0,52,116500
60,7,1330,2872,2,4,11,619,31,272000
160,6,804,1548,2,3,7,440,31,155000
20,5,1800,1800,2,2,7,702,2,239000
60,5,817,1894,2,4,8,510,8,214900
60,5,783,1484,2,3,8,393,2,178900
50,7,728,1308,1,2,7,256,69,160000
20,7,1098,1098,1,3,6,260,53,135000
50,6,600,968,1,2,6,0,99,37900
190,5,588,1095,1,2,6,264,48,140000
50,4,720,1192,1,4,6,0,57,135000
160,5,764,1626,2,2,6,474,6,173000
120,5,918,918,2,2,5,264,31,99500
20,5,1428,1428,2,3,6,480,1,182000
70,8,728,2019,1,3,8,532,99,167500
160,5,673,1382,2,3,6,490,6,165000
30,7,440,869,1,2,4,0,83,85500
120,5,1241,1241,1,1,4,569,1,199900
20,5,894,894,1,3,5,400,53,110000
20,6,1121,1121,1,3,5,480,46,139000
85,9,944,999,1,3,6,588,47,178400
60,5,1225,2612,2,4,8,676,11,336000
20,5,1266,1266,2,2,6,388,1,159895
60,5,1128,2290,2,4,9,779,6,255900
90,5,0,1734,2,4,8,539,32,126000
190,5,1164,1164,1,3,5,240,58,125000
50,8,485,1635,1,2,5,255,96,117000
20,5,1930,1940,2,3,8,606,1,395192
60,6,848,2030,2,4,8,551,31,195000
60,5,770,1576,2,3,6,614,0,197000
60,5,1396,2392,2,3,7,870,9,348000
70,9,916,1742,1,4,8,424,127,168000
60,8,822,1851,2,3,7,440,43,187000
60,5,750,1500,2,3,6,564,1,173900
20,5,1700,1718,2,3,7,786,3,337500
50,7,747,1230,1,3,5,305,60,121600
20,6,1050,1050,1,3,6,368,45,136500
20,6,1442,1442,2,2,6,615,39,185000
30,4,1007,1077,1,3,6,210,84,91000
20,5,1187,1208,2,2,6,632,4,206000
20,3,0,944,1,2,4,528,57,82000
30,6,691,691,1,2,4,216,87,86000
20,5,1574,1574,2,3,7,824,2,232000
90,6,1680,1680,2,4,8,528,31,136905
120,5,1346,1504,2,1,7,457,4,181000
80,8,985,985,2,3,6,328,31,149900
20,3,1657,1657,2,3,7,484,37,163500
160,4,546,1092,1,3,6,286,39,88000
20,5,1710,1710,2,3,7,550,5,240000
50,5,1008,1522,2,4,7,0,80,102000
50,5,720,1271,2,4,7,312,60,135000
90,5,0,1664,2,4,8,0,45,100000
70,7,602,1502,1,3,7,180,84,165000
30,4,1022,1022,1,2,4,280,99,85000
20,5,1082,1082,1,2,5,240,59,119200
60,6,810,1665,2,3,6,528,8,227000
20,5,1504,1504,2,3,6,478,13,203000
120,5,1220,1360,1,1,4,565,25,187500
80,5,384,1472,2,3,7,402,16,160000
120,5,1362,1506,2,2,6,440,1,213490
20,5,1132,1132,1,2,5,451,3,176000
20,5,1199,1220,2,2,6,632,0,194000
50,5,912,1248,1,2,6,160,77,87000
120,5,1346,1504,2,2,7,437,3,191000
20,6,1565,2898,2,2,10,665,32,287000
20,5,882,882,1,3,5,461,35,112500
20,5,1268,1264,1,3,6,461,50,167500
20,5,1638,1646,2,3,7,800,1,293077
50,5,768,1376,1,3,6,240,66,105000
160,7,672,1218,1,3,7,264,34,118000
190,8,686,1928,2,5,10,0,90,160000
75,3,824,3082,2,5,12,672,89,197000
60,7,1338,2520,2,5,10,796,13,310000
20,5,1654,1654,2,3,6,900,4,230000
30,7,920,954,1,2,5,240,69,119750
20,3,0,845,1,3,5,290,52,84000
20,5,1620,1620,2,2,6,912,2,315500
60,5,1055,2263,2,3,7,905,7,287000
160,6,546,1344,1,3,6,0,39,97000
180,4,630,630,1,1,3,286,39,80000
20,4,1134,1803,2,3,8,484,49,155000
60,8,800,1632,1,4,7,484,42,173000
120,5,1306,1306,2,1,5,624,4,196000
60,5,1475,2329,2,4,10,514,18,262280
20,5,2524,2524,2,4,9,542,28,278000
20,5,0,1733,2,4,8,452,54,139600
60,5,1992,2868,3,4,11,716,1,556581
20,5,990,990,1,3,5,672,14,145000
20,4,0,1771,1,3,9,336,49,115000
20,7,0,930,1,2,6,308,64,84900
20,5,1302,1302,2,3,6,436,0,176485
20,5,1316,1316,2,3,6,440,0,200141
60,6,816,1977,1,4,9,540,43,165000
20,6,1216,1526,1,4,7,364,53,144500
60,5,1065,1989,2,3,7,586,4,255000
20,5,1193,1523,2,3,7,478,32,180000
120,5,1364,1364,2,2,6,484,1,185850
60,6,973,1850,2,3,7,467,15,248000
60,5,1104,2184,2,3,10,836,1,335000
50,7,854,1991,1,3,7,432,75,220000
120,5,1338,1338,2,2,6,582,9,213500
30,4,894,894,1,2,6,1248,73,81000
190,5,662,2337,2,5,10,560,107,90000
30,6,1103,1103,1,2,5,440,81,110500
20,6,1154,1154,1,3,6,480,43,154000
60,5,1306,2260,2,3,7,533,14,328000
60,7,799,1571,2,3,7,380,16,178000
60,6,780,1611,1,4,7,442,44,167900
160,4,942,2521,2,5,10,576,33,151400
45,7,845,893,1,2,4,576,58,135000
20,5,1048,1048,1,3,6,286,51,135000
60,6,727,1556,1,4,8,441,41,154000
50,3,810,1456,1,4,7,280,58,91500
60,6,690,1426,1,3,6,440,32,159500
20,5,1240,1240,2,2,5,826,1,194000
70,6,800,1740,1,3,6,240,67,219500
50,8,796,1466,2,3,7,566,70,170000
20,5,1096,1096,1,3,6,299,37,138800
120,5,848,848,1,1,3,420,2,155900
20,5,990,990,1,3,5,299,13,126000
20,7,1258,1258,2,3,5,528,37,145000
20,5,1040,1040,1,3,5,308,47,133000
20,5,1459,1459,2,3,6,527,5,192000
20,6,1251,1251,1,3,6,461,42,160000
60,5,691,1498,2,3,6,409,11,187500
85,6,936,996,1,2,5,564,18,147000
160,5,546,1092,1,3,6,286,37,83500
60,5,1082,1953,2,3,9,1043,4,252000
160,5,970,1709,2,3,7,380,2,137500
120,5,1247,1247,1,1,4,550,1,197000
90,4,0,1040,2,2,6,400,59,92900
160,5,600,1252,2,2,4,462,9,160000
50,5,1181,1694,2,4,7,576,83,136500
20,8,864,1200,1,1,6,884,41,146000
20,7,936,936,1,2,4,308,54,129000
20,5,1314,1314,2,3,6,440,1,176432
70,7,684,1355,1,3,7,0,93,127000
120,5,1074,1088,1,2,5,461,21,170000
50,6,672,1324,1,3,6,240,73,128000
20,5,1271,1601,2,3,7,478,31,157000
30,5,290,438,1,1,3,246,89,60000
20,5,950,950,1,3,5,280,36,119500
20,7,1010,1134,1,2,6,254,47,135000
20,6,655,1194,1,3,6,539,47,159500
160,5,630,1302,2,3,6,440,37,106000
60,5,1463,2622,2,3,9,712,16,325000
20,5,910,1442,2,3,6,719,17,179900
60,5,868,2021,2,3,9,422,0,274725
60,5,924,1690,2,3,7,463,7,181000
20,5,1836,1836,2,3,7,862,5,280000
60,5,773,1658,2,3,8,431,13,188000
60,6,803,1964,2,4,8,483,32,205000
20,7,816,816,1,2,5,308,49,129900
20,7,1008,1008,1,2,6,240,54,134500
20,7,833,833,1,2,4,326,52,117000
20,5,1734,1734,2,3,7,928,0,318000
80,5,408,1419,2,3,7,527,7,184100
20,7,894,894,1,3,5,450,41,130000
80,6,533,1601,1,3,6,300,50,140000
20,5,1040,1040,1,3,6,286,47,133700
30,5,1012,1012,1,2,6,308,87,118400
20,5,1552,1552,2,3,7,782,1,212900
20,3,672,960,1,3,5,288,53,112000
20,9,698,698,1,2,4,0,62,118000
80,5,384,1482,2,3,7,392,15,163900
20,5,1005,1005,1,2,5,672,54,115000
120,5,1373,1555,2,2,7,660,2,174000
20,5,1530,1530,2,3,7,630,3,259000
60,5,847,1959,2,4,8,434,3,215000
90,5,936,936,1,2,4,672,27,140000
50,3,1122,1981,2,4,7,576,81,135000
20,5,974,974,1,3,5,0,16,93500
70,4,1008,2210,2,5,8,205,127,117500
60,5,1128,2020,2,3,8,466,14,239500
60,5,916,1600,2,3,7,460,10,169000
30,5,960,986,1,2,5,180,81,102000
50,5,1032,1252,1,3,6,288,58,119000
50,8,780,1020,1,2,6,0,135,94000
20,5,1567,1567,2,2,5,714,32,196000
30,5,915,1167,1,3,6,495,87,144000
20,7,952,952,1,2,4,840,57,139000
60,7,780,1868,2,4,9,484,33,197500
60,5,1466,2828,3,4,11,1052,1,424870
20,3,1006,1006,1,3,5,0,49,80000
190,4,672,924,1,2,5,280,69,80000
50,6,1042,1576,1,3,8,225,78,149000
20,5,1298,1298,2,3,5,403,21,180000
70,7,704,1564,1,3,7,234,68,174500
50,7,572,1111,1,2,5,288,82,116900
70,9,650,1482,1,3,7,324,89,143000
20,5,932,932,1,2,4,306,57,124000
20,4,1466,1466,1,3,6,528,47,149900
20,7,1073,1811,1,2,6,470,50,230000
30,8,816,816,1,2,5,432,78,120500
60,6,864,1820,1,4,8,492,43,201800
20,8,1437,1437,2,3,6,528,31,218000
80,8,1219,1265,2,3,6,502,43,179900
120,5,1314,1314,2,2,6,626,2,230000
20,5,1580,1580,2,3,7,830,1,235128
60,6,901,1876,2,4,8,540,34,185000
160,5,855,1456,2,3,7,440,32,146000
20,7,1296,1640,1,3,7,924,54,224000
20,5,894,894,1,3,5,450,39,129000
90,4,1198,1258,0,0,6,400,39,108959
80,7,1360,1432,1,2,5,588,29,194000
20,5,1502,1502,2,3,7,644,0,233170
20,5,1694,1694,2,3,7,776,2,245350
60,5,959,1671,2,3,7,472,6,173000
70,7,1127,2108,2,4,7,540,73,235000
60,5,1930,3627,3,4,10,807,11,625000
80,6,1096,1118,1,3,6,358,31,171000
20,6,1261,1261,1,3,6,433,50,163000
160,5,625,1250,2,2,5,625,2,171900
50,6,1598,3086,3,3,12,0,61,200500
70,8,952,2345,2,4,9,360,74,239000
50,5,1683,2872,2,4,9,541,15,285000
20,5,876,923,1,3,5,264,24,119500
50,8,818,1224,1,3,5,210,83,115000
50,6,731,1343,1,3,7,186,88,154900
20,5,0,1124,1,3,5,0,52,93000
60,5,1216,2514,2,4,8,693,16,250000
120,5,1600,1652,2,2,5,482,0,392500
60,5,2396,4476,3,4,10,813,11,745000
30,6,1120,1130,1,2,5,720,86,120000
20,4,1572,1572,1,3,5,995,44,186700
50,7,784,1221,1,4,7,392,82,104900
190,5,978,1699,2,3,7,420,109,95000
20,5,1624,1624,2,2,5,757,12,262000
60,5,831,1660,2,3,7,493,7,195000
60,5,994,1804,2,3,7,442,11,189000
190,4,1249,1622,1,3,7,1356,46,168000
160,5,776,1441,2,2,5,492,8,174000
50,8,702,1472,1,3,6,250,82,125000
120,5,1224,1224,2,2,5,402,10,165000
60,7,663,1352,1,4,7,299,41,158000
60,5,728,1456,2,3,8,400,3,176000
60,5,879,1863,2,4,9,660,0,219210
75,6,815,1690,1,3,7,225,90,144000
20,5,1212,1212,2,3,6,573,8,178000
20,5,1051,1382,1,3,6,459,43,148000
20,5,864,864,1,3,5,280,36,116050
60,5,866,1779,2,3,6,546,11,197900
50,8,884,1348,1,3,5,216,84,117000
20,5,1630,1630,2,3,6,451,9,213000
20,6,1056,1074,1,3,6,495,31,153500
20,7,2158,2196,2,3,7,701,19,271900
20,4,1056,1056,1,2,5,384,40,107000
20,5,1682,1700,2,3,7,544,3,200000
20,7,931,1283,1,3,6,506,46,140000
20,5,1660,1660,2,3,8,500,0,290000
60,5,1055,1845,2,3,8,462,18,189000
50,7,559,1752,2,4,8,492,22,164000
30,6,672,672,1,2,4,234,68,113000
80,9,648,960,0,0,3,364,41,145000
85,5,925,999,1,3,6,300,44,134500
20,5,894,894,1,3,5,384,41,125000
90,5,0,1902,2,4,8,539,32,112000
20,5,1300,1314,2,3,6,552,0,229456
50,5,0,912,1,2,3,0,59,80500
160,5,672,1218,1,3,7,0,35,91500
20,5,912,912,1,2,5,288,42,115000
20,5,952,1211,1,3,5,322,40,134000
50,6,1040,1846,2,3,7,315,58,143000
20,3,2136,2136,2,4,7,528,55,137900
60,5,788,1490,2,3,8,388,4,184000
80,8,588,1138,1,3,6,264,49,145000
60,5,894,1933,2,4,9,668,1,214000
20,8,912,912,1,2,5,576,43,147000
120,5,1702,1702,1,1,7,1052,0,367294
80,5,1075,1507,2,4,7,404,48,127000
90,5,1361,2620,2,4,12,600,30,190000
90,6,1106,1190,1,3,6,540,44,132500
90,5,0,1224,2,2,6,462,45,101800
20,5,1188,1188,1,3,6,531,51,142000
70,6,940,1964,1,4,7,0,97,130000
70,5,747,1784,1,4,9,180,92,138887
160,5,764,1626,2,2,6,474,7,175500
60,5,847,1948,2,4,8,434,2,195000
20,5,1141,1141,1,3,6,484,1,142500
20,5,1476,1484,2,2,6,472,1,265900
60,5,884,1768,2,3,8,543,5,224900
20,6,1689,1689,2,3,7,954,0,248328
