MSSubClass,MSZoning,LotArea,Utilities,Neighborhood,OverallCond,YearBuilt,RoofMatl,Exterior1st,ExterCond,Foundation,TotalBsmtSF,CentralAir,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageType,GarageCars,GarageArea,PavedDrive,YrSold,SaleType,SalePrice
60,RL,10562,AllPub,NridgHt,5,2007,CompShg,VinylSd,TA,PConc,1582,Y,2161,1,1,3,1,8,Attchd,3,789,Y,2007,New,325624
60,RL,8244,AllPub,Gilbert,5,2004,CompShg,VinylSd,TA,PConc,840,Y,1720,2,1,3,1,7,Attchd,2,440,Y,2007,WD,183500
20,RL,16669,AllPub,Timber,6,1981,WdShake,Plywood,TA,CBlock,1686,Y,1707,2,1,2,1,6,Attchd,2,511,Y,2006,WD,228000
50,RM,12358,AllPub,OldTown,6,1941,CompShg,MetalSd,TA,CBlock,720,Y,1382,1,1,2,1,7,Detchd,2,660,Y,2007,WD,128500
20,RL,31770,AllPub,NAmes,5,1960,CompShg,BrkFace,TA,CBlock,1080,Y,1656,1,0,3,1,7,Attchd,2,528,P,2010,WD,215000
160,RL,5306,AllPub,StoneBr,7,1987,CompShg,HdBoard,Gd,PConc,1064,Y,1767,2,0,2,1,5,Attchd,2,504,Y,2006,WD,239000
20,RL,10197,AllPub,NAmes,5,1961,CompShg,WdShing,TA,CBlock,1362,Y,1362,1,1,3,1,6,Attchd,2,504,Y,2008,COD,163000
20,RL,12416,AllPub,Timber,5,1986,CompShg,VinylSd,TA,CBlock,1606,Y,1651,2,0,3,1,7,Attchd,2,616,Y,2008,WD,184000
20,RL,12615,AllPub,Edwards,7,1950,CompShg,WdShing,TA,CBlock,1202,Y,2158,2,0,4,1,7,Attchd,2,576,Y,2007,WD,243000
60,RL,10029,AllPub,ClearCr,5,1988,CompShg,Plywood,TA,PConc,1151,Y,2060,2,1,4,1,8,Attchd,2,521,Y,2007,WD,211000
50,RL,13650,AllPub,Sawyer,5,1958,CompShg,MetalSd,Gd,CBlock,1052,Y,1920,2,0,4,1,8,Attchd,2,451,Y,2006,WD,172500
20,RL,17423,AllPub,StoneBr,5,2008,CompShg,VinylSd,TA,PConc,2216,Y,2234,2,0,1,1,9,Attchd,3,1166,Y,2009,New,501837
30,RM,8520,AllPub,OldTown,6,1923,CompShg,Wd Sdng,TA,CBlock,968,Y,968,1,0,2,1,5,Detchd,2,480,N,2007,WD,100000
160,FV,2117,AllPub,Somerst,5,2000,CompShg,MetalSd,TA,PConc,756,Y,1525,2,1,3,1,5,Detchd,2,440,Y,2007,WD,177000
70,RL,7588,AllPub,Crawfor,6,1920,CompShg,Stucco,TA,BrkTil,793,Y,1802,1,1,4,1,9,Detchd,1,216,Y,2006,WD,200100
20,RL,9060,AllPub,Edwards,6,1957,CompShg,Wd Sdng,TA,PConc,0,Y,1340,1,0,3,1,7,Attchd,1,252,Y,2007,WD,120000
50,RM,11426,AllPub,OldTown,5,2003,CompShg,VinylSd,TA,PConc,1362,Y,2082,2,1,3,1,6,Detchd,2,484,N,2008,WD,200000
50,RL,7438,AllPub,BrkSide,8,1908,CompShg,AsbShng,TA,PConc,504,Y,1252,1,0,3,1,5,Attchd,2,576,Y,2006,WD,127000
75,RM,22950,AllPub,OldTown,9,1892,WdShngl,Wd Sdng,Gd,BrkTil,1107,Y,3608,2,1,4,1,12,Detchd,3,840,Y,2006,WD,475000
80,RL,9947,AllPub,Mitchel,5,1990,CompShg,HdBoard,TA,PConc,1188,Y,1217,2,0,3,1,6,Attchd,2,497,Y,2009,WD,173000
50,RL,10410,AllPub,OldTown,7,1916,CompShg,HdBoard,TA,CBlock,660,Y,1656,2,1,3,1,8,Detchd,1,180,N,2009,WD,135000
90,RL,7018,AllPub,SawyerW,5,1979,CompShg,Plywood,TA,CBlock,1086,Y,1224,0,2,2,2,6,Detchd,2,528,Y,2009,WD,153337
120,RL,4923,AllPub,StoneBr,5,2001,CompShg,CemntBd,TA,PConc,1593,Y,1593,1,1,0,1,5,Attchd,2,682,Y,2008,WD,286000
70,RL,10570,AllPub,Crawfor,8,1932,CompShg,BrkFace,TA,CBlock,853,Y,2727,2,1,3,1,10,Detchd,2,440,Y,2007,WD,315000
60,RL,7472,AllPub,NAmes,9,1972,CompShg,HdBoard,TA,CBlock,725,Y,1479,1,1,4,1,7,Attchd,2,484,Y,2007,WD,184000
20,RL,9017,AllPub,CollgCr,5,1999,CompShg,VinylSd,TA,PConc,1431,Y,1431,2,0,3,1,6,Attchd,2,666,Y,2009,WD,192000
160,RM,2522,AllPub,Edwards,5,2004,CompShg,VinylSd,TA,PConc,970,Y,1709,2,0,3,1,7,Detchd,2,380,Y,2006,WD,130000
20,RL,7180,AllPub,CollgCr,7,1972,CompShg,HdBoard,TA,CBlock,864,Y,864,1,0,3,1,5,Detchd,1,352,Y,2008,WD,127000
160,RL,2280,AllPub,NPkVill,6,1976,CompShg,Plywood,TA,CBlock,855,Y,1456,2,1,3,1,7,Attchd,2,440,Y,2009,WD,148500
20,RL,9416,AllPub,Somerst,5,2007,CompShg,CemntBd,TA,PConc,1726,Y,1726,2,0,3,1,8,Attchd,3,786,Y,2007,New,311872
75,RL,25419,AllPub,NAmes,4,1918,CompShg,Stucco,Gd,PConc,1360,Y,3112,2,0,4,1,8,Detchd,2,795,Y,2006,WD,235000
75,RM,5520,AllPub,OldTown,6,1912,CompShg,Wd Sdng,TA,CBlock,755,Y,2229,1,0,5,1,8,,0,0,Y,2009,WD,104000
20,RL,9591,AllPub,NridgHt,5,2004,CompShg,VinylSd,TA,PConc,1713,Y,1713,2,0,3,1,7,Attchd,3,856,Y,2009,WD,274900
20,RM,8546,AllPub,Edwards,5,2003,CompShg,VinylSd,TA,PConc,1121,Y,1121,2,0,2,1,5,Attchd,2,440,Y,2010,WD,140000
20,RL,10125,AllPub,Mitchel,6,1977,CompShg,Plywood,TA,CBlock,1196,Y,1279,2,0,3,1,6,Detchd,2,473,Y,2008,WD,171500
50,RL,7000,AllPub,OldTown,6,1924,CompShg,MetalSd,Gd,BrkTil,617,Y,1310,2,0,2,1,6,Attchd,1,398,Y,2006,COD,112000
120,RM,4438,AllPub,CollgCr,5,2004,CompShg,VinylSd,TA,PConc,848,Y,848,1,0,1,1,3,Attchd,2,420,Y,2008,WD,149000
50,RM,3500,AllPub,OldTown,7,1947,CompShg,AsbShng,TA,CBlock,720,Y,1284,1,1,2,1,5,Detchd,1,240,Y,2009,WD,110000
20,RL,11851,AllPub,Gilbert,5,1990,CompShg,HdBoard,TA,PConc,1424,Y,1442,2,0,3,1,5,Attchd,2,500,Y,2009,WD,180500
20,RL,13673,AllPub,Sawyer,5,1962,CompShg,HdBoard,Gd,CBlock,1140,Y,1696,1,1,3,1,8,Attchd,1,349,Y,2007,WD,143900
20,RL,12493,AllPub,NAmes,5,1960,CompShg,Wd Sdng,TA,PConc,1100,Y,1100,1,0,3,1,6,Attchd,1,312,Y,2008,WD,141000
60,RL,14364,AllPub,SawyerW,5,1988,CompShg,Plywood,TA,CBlock,1157,Y,2062,2,1,3,1,7,Attchd,2,454,Y,2007,WD,277000
20,RL,8250,AllPub,NAmes,7,1964,CompShg,HdBoard,TA,CBlock,1092,Y,1092,1,0,3,1,6,Attchd,2,504,Y,2008,WD,145000
30,RL,5604,AllPub,Edwards,6,1925,CompShg,Stucco,TA,CBlock,864,N,864,1,0,2,1,5,,0,0,Y,2008,WD,98000
20,RL,10420,AllPub,Edwards,5,2009,CompShg,VinylSd,TA,PConc,1212,Y,1212,2,0,3,1,6,Attchd,2,460,Y,2010,WD,186000
60,FV,8640,AllPub,Somerst,5,2009,CompShg,VinylSd,TA,PConc,900,Y,1852,2,1,3,1,7,Attchd,2,644,Y,2009,New,252678
20,RL,13568,AllPub,CollgCr,5,1995,CompShg,VinylSd,TA,PConc,990,Y,990,1,0,3,1,5,Attchd,2,576,Y,2006,WD,156000
60,RL,10900,AllPub,CollgCr,7,1977,CompShg,HdBoard,TA,CBlock,689,Y,1392,1,1,3,1,6,Attchd,1,299,Y,2010,WD,161750
20,RL,10011,AllPub,NAmes,6,1957,CompShg,HdBoard,TA,CBlock,1070,Y,1236,1,0,2,1,6,Attchd,1,447,Y,2006,WD,134450
20,RL,8450,AllPub,CollgCr,5,2004,CompShg,VinylSd,TA,PConc,1436,Y,1436,2,0,3,1,8,Attchd,2,484,Y,2008,WD,210000
70,RM,9906,AllPub,OldTown,4,1925,CompShg,MetalSd,TA,CBlock,686,N,1328,1,0,3,1,8,Detchd,1,210,Y,2006,WD,107000
50,RL,15660,AllPub,Crawfor,9,1939,CompShg,VinylSd,Gd,CBlock,798,Y,1954,1,1,3,1,8,Attchd,2,431,Y,2008,WD,311500
120,RL,3010,AllPub,Blmngtn,5,2005,CompShg,VinylSd,TA,PConc,1248,Y,1248,2,0,2,1,5,Attchd,2,438,Y,2006,New,167240
20,RL,8990,AllPub,CollgCr,5,2006,CompShg,VinylSd,TA,PConc,1498,Y,1498,2,0,2,1,5,Attchd,2,675,Y,2006,New,204900
60,RL,8068,AllPub,Gilbert,5,2002,CompShg,VinylSd,TA,PConc,1010,Y,2267,2,1,4,1,8,BuiltIn,2,390,Y,2009,ConLI,200000
60,RL,11475,AllPub,NWAmes,6,1975,CompShg,VinylSd,TA,CBlock,713,Y,1552,2,1,3,1,6,Attchd,2,434,Y,2006,WD,179900
20,RL,10500,AllPub,NAmes,6,1971,CompShg,HdBoard,TA,CBlock,864,Y,864,1,0,2,1,4,Detchd,2,576,Y,2009,WD,97000
20,RL,13472,AllPub,NridgHt,5,2003,CompShg,VinylSd,TA,PConc,2392,Y,2392,2,0,3,1,8,Attchd,3,968,Y,2009,WD,386250
160,RM,1680,AllPub,BrDale,5,1971,CompShg,HdBoard,TA,CBlock,630,Y,1302,2,1,3,1,6,Detchd,1,280,Y,2009,COD,112000
60,RL,9950,AllPub,NoRidge,5,1995,CompShg,VinylSd,TA,PConc,1203,Y,2520,2,1,4,1,9,Attchd,3,721,Y,2007,WD,290000
160,RM,1869,AllPub,BrDale,6,1970,CompShg,HdBoard,TA,CBlock,483,Y,987,1,1,2,1,5,Detchd,1,280,Y,2008,WD,106000
20,RL,8521,AllPub,Sawyer,5,1967,CompShg,HdBoard,TA,CBlock,912,Y,912,1,0,3,1,5,Detchd,1,336,Y,2010,WD,125000
120,RL,3182,AllPub,Blmngtn,5,2005,CompShg,VinylSd,TA,PConc,1373,Y,1555,2,0,2,1,7,Attchd,2,430,Y,2009,WD,192500
20,RL,8760,AllPub,NAmes,6,1959,CompShg,MetalSd,TA,CBlock,1194,Y,1194,1,0,3,1,6,Attchd,1,312,Y,2010,WD,148000
60,RL,15138,AllPub,NoRidge,5,1995,CompShg,VinylSd,TA,PConc,1462,Y,2794,2,1,4,1,9,Attchd,3,810,Y,2009,WD,403000
160,RM,1680,AllPub,BrDale,5,1972,CompShg,HdBoard,TA,CBlock,483,Y,987,1,1,2,1,5,Attchd,1,288,Y,2006,WD,94500
20,RL,10650,AllPub,CollgCr,6,1976,CompShg,HdBoard,TA,CBlock,894,Y,894,1,0,3,1,5,Attchd,1,308,Y,2010,WD,128200
60,RL,7851,AllPub,Gilbert,5,2002,CompShg,VinylSd,TA,PConc,860,Y,1960,2,1,4,1,8,BuiltIn,2,440,Y,2010,WD,216500
160,RM,1680,AllPub,BrDale,3,1971,CompShg,HdBoard,TA,CBlock,483,Y,987,1,1,2,1,5,Detchd,1,264,Y,2008,WD,89500
20,RL,8773,AllPub,CollgCr,5,2004,CompShg,VinylSd,TA,PConc,1414,Y,1414,2,0,3,1,6,Attchd,2,494,Y,2010,WD,185500
60,RL,9453,AllPub,SawyerW,7,1993,CompShg,HdBoard,TA,PConc,996,Y,1744,2,1,3,1,7,Attchd,2,457,Y,2010,WD,194500
20,RL,12030,AllPub,NridgHt,5,2007,CompShg,VinylSd,TA,PConc,1694,Y,1694,2,0,3,1,7,Attchd,3,818,Y,2007,New,318000
50,RL,8741,AllPub,Edwards,4,1945,CompShg,VinylSd,TA,CBlock,735,Y,1487,1,1,3,1,7,Detchd,1,220,Y,2010,WD,113000
20,FV,9000,AllPub,Somerst,5,2008,CompShg,VinylSd,TA,PConc,1566,Y,1566,2,0,3,1,7,Attchd,2,750,Y,2010,WD,262500
30,RM,3880,AllPub,OldTown,9,1945,CompShg,VinylSd,Gd,CBlock,686,Y,866,1,0,2,1,4,,0,0,Y,2007,WD,110500
50,RM,5000,AllPub,OldTown,4,1900,CompShg,Wd Sdng,TA,BrkTil,540,N,1440,1,0,3,1,6,Attchd,1,352,Y,2006,WD,79000
160,RL,10762,AllPub,SawyerW,6,1980,CompShg,Plywood,TA,CBlock,626,Y,1217,1,1,3,1,6,Attchd,1,288,Y,2009,WD,120000
60,RL,8880,AllPub,SawyerW,5,1994,CompShg,VinylSd,TA,PConc,948,Y,2110,2,1,3,1,8,Attchd,2,463,Y,2010,WD,205000
20,RL,10400,AllPub,NWAmes,5,1988,CompShg,Wd Sdng,TA,CBlock,1845,Y,1872,2,0,3,1,6,Attchd,2,604,Y,2006,WD,241500
190,RM,9142,AllPub,OldTown,8,1910,CompShg,AsbShng,Fa,Stone,1020,N,1928,2,0,4,2,9,Detchd,1,440,Y,2006,WD,137000
20,RL,11310,AllPub,NAmes,5,1954,CompShg,Wd Sdng,TA,CBlock,1367,Y,1375,1,0,2,1,5,Attchd,2,451,Y,2006,WD,140000
60,RL,11317,AllPub,CollgCr,5,2003,CompShg,VinylSd,TA,PConc,840,Y,1668,2,1,3,1,8,Attchd,2,500,Y,2007,WD,180000
50,RL,159000,AllPub,ClearCr,7,1958,CompShg,Wd Sdng,TA,CBlock,1444,Y,2144,2,0,4,1,7,Attchd,2,389,Y,2007,WD,277000
30,RL,5350,AllPub,BrkSide,2,1940,CompShg,Wd Sdng,Po,CBlock,728,Y,1306,1,0,3,1,6,,0,0,Y,2010,WD,76500
120,RM,4750,AllPub,Crawfor,5,2006,CompShg,VinylSd,TA,PConc,1573,Y,1625,2,0,2,1,5,Attchd,2,538,Y,2007,WD,235000
60,RL,8366,AllPub,SawyerW,5,2004,CompShg,VinylSd,TA,PConc,798,Y,1640,2,1,3,1,6,Attchd,2,520,Y,2008,WD,173000
80,RL,9350,AllPub,NAmes,7,1964,CompShg,HdBoard,TA,CBlock,1302,Y,1302,2,0,3,1,7,Attchd,1,309,Y,2007,CWD,158000
20,RL,8400,AllPub,NAmes,6,1957,CompShg,MetalSd,Gd,CBlock,1314,Y,1314,1,0,3,1,5,Attchd,1,294,Y,2010,WD,145000
60,RL,8738,AllPub,Gilbert,5,1999,CompShg,VinylSd,TA,PConc,975,Y,2291,2,1,4,1,8,BuiltIn,2,429,Y,2006,WD,230000
60,FV,8791,AllPub,Somerst,5,2003,CompShg,VinylSd,TA,PConc,864,Y,1728,2,1,3,1,7,Attchd,2,673,Y,2008,WD,207500
20,RL,8814,AllPub,CollgCr,5,2006,CompShg,VinylSd,TA,PConc,1604,Y,1604,2,1,3,1,8,Attchd,2,660,Y,2009,WD,220000
60,RL,12435,AllPub,CollgCr,5,2001,CompShg,VinylSd,TA,PConc,963,Y,1792,2,1,3,1,7,Attchd,2,564,Y,2008,WD,231500
20,RM,12702,AllPub,OldTown,5,1956,CompShg,BrkFace,TA,PConc,0,Y,882,1,0,2,1,4,Detchd,1,308,Y,2008,WD,97000
80,RL,19296,AllPub,NAmes,5,1962,CompShg,Wd Sdng,TA,CBlock,1362,Y,1382,1,0,3,1,6,Attchd,2,884,Y,2009,WD,176000
60,RL,9588,AllPub,CollgCr,5,2007,CompShg,CemntBd,TA,PConc,1482,Y,2574,2,1,3,1,10,BuiltIn,3,868,Y,2007,New,276000
80,RL,8471,AllPub,Sawyer,7,1977,CompShg,HdBoard,TA,CBlock,506,Y,1212,1,0,3,1,6,Attchd,2,492,Y,2006,WD,151000
50,RM,5500,AllPub,OldTown,7,1929,CompShg,Wd Sdng,TA,BrkTil,926,Y,1316,1,0,3,1,6,Detchd,2,484,Y,2010,WD,130000
30,RM,5232,AllPub,OldTown,5,1925,CompShg,Wd Sdng,TA,BrkTil,680,N,764,1,0,2,1,4,Detchd,2,504,N,2008,WD,73000
20,RL,12090,AllPub,NWAmes,6,1981,CompShg,MetalSd,Gd,CBlock,1422,Y,1422,2,0,3,1,7,Attchd,2,576,Y,2008,WD,175500
60,RL,11207,AllPub,Gilbert,5,1997,CompShg,VinylSd,TA,PConc,802,Y,1511,2,1,3,1,8,Attchd,2,413,Y,2006,WD,185000
75,RL,8400,AllPub,SWISU,8,1939,CompShg,Wd Sdng,TA,PConc,720,Y,2192,2,1,4,1,8,Detchd,1,240,Y,2008,WD,179500
30,RM,6900,AllPub,IDOTRR,6,1940,CompShg,VinylSd,TA,CBlock,740,Y,778,1,0,2,1,4,Detchd,1,924,Y,2008,WD,120500
20,RL,7917,AllPub,Edwards,7,1976,CompShg,HdBoard,Gd,CBlock,1143,Y,1113,1,1,3,1,6,Attchd,1,504,Y,2007,WD,148000
60,FV,10728,AllPub,Somerst,5,2006,CompShg,VinylSd,TA,PConc,1095,Y,1939,2,1,3,1,8,Attchd,3,1053,Y,2006,New,266000
20,RL,39104,AllPub,ClearCr,7,1954,Membran,Plywood,TA,CBlock,1385,Y,1363,1,0,2,1,5,Attchd,2,439,Y,2008,WD,241500
60,RL,11764,AllPub,NoRidge,7,1999,CompShg,VinylSd,TA,PConc,1152,Y,2270,2,1,4,1,9,Attchd,3,671,Y,2010,WD,290000
20,RL,9600,AllPub,NAmes,6,1958,CompShg,Wd Sdng,TA,CBlock,1240,Y,1632,2,0,3,1,6,Attchd,1,338,Y,2009,WD,139000
20,RL,8314,AllPub,Mitchel,7,1982,CompShg,HdBoard,TA,CBlock,816,Y,816,1,0,2,1,5,Attchd,1,264,Y,2007,WD,124500
50,RL,7264,AllPub,BrkSide,7,1925,CompShg,Wd Sdng,Gd,BrkTil,952,N,1548,2,1,3,1,5,Detchd,2,672,Y,2009,WD,205000
20,RL,9196,AllPub,Mitchel,5,2003,CompShg,VinylSd,TA,PConc,1560,Y,1560,2,0,3,1,7,Attchd,2,573,Y,2010,WD,201000
20,RL,19138,AllPub,Gilbert,5,1951,CompShg,VinylSd,TA,CBlock,864,Y,864,1,0,2,1,4,Detchd,2,400,Y,2010,WD,141000
20,RL,14450,AllPub,NridgHt,5,2006,CompShg,CemntBd,TA,PConc,2121,Y,2121,2,1,3,1,8,Attchd,3,732,Y,2007,New,415298
60,RL,10005,AllPub,ClearCr,5,1977,CompShg,Plywood,TA,CBlock,1160,Y,2022,2,1,4,1,8,Attchd,2,505,Y,2008,WD,192000
60,RL,11287,AllPub,SawyerW,6,1989,CompShg,Plywood,TA,CBlock,807,Y,1982,2,1,3,1,7,Attchd,2,575,Y,2007,WD,228500
20,FV,7200,AllPub,Somerst,5,2006,CompShg,VinylSd,TA,PConc,1262,Y,1262,2,0,2,1,5,Attchd,2,572,Y,2006,New,185000
120,RL,5063,AllPub,NridgHt,5,2007,CompShg,VinylSd,TA,PConc,1314,Y,1314,2,0,2,1,6,Attchd,2,626,Y,2009,ConLw,207500
20,RL,9612,AllPub,Somerst,5,2008,CompShg,VinylSd,TA,PConc,1468,Y,1468,2,0,3,1,6,Attchd,3,898,Y,2009,New,244600
120,RL,8012,AllPub,SawyerW,5,1992,CompShg,Plywood,TA,PConc,1575,Y,1575,2,0,2,1,5,Attchd,2,529,Y,2007,WD,179200
160,FV,4251,AllPub,Somerst,5,2006,CompShg,MetalSd,TA,PConc,625,Y,1250,2,1,2,1,5,Detchd,2,528,Y,2007,New,164700
50,RL,9786,AllPub,NAmes,7,1962,CompShg,Wd Sdng,TA,CBlock,912,Y,1734,1,1,3,1,7,Attchd,2,440,Y,2006,WD,159000
20,RL,8125,AllPub,NAmes,4,1971,CompShg,HdBoard,TA,CBlock,858,Y,858,1,0,3,1,5,,0,0,Y,2006,WD,88000
20,RL,9819,AllPub,Sawyer,5,1967,CompShg,MetalSd,Gd,CBlock,882,Y,900,1,0,3,1,5,Detchd,1,280,Y,2010,WD,122000
70,RL,8730,AllPub,BrkSide,7,1915,CompShg,Wd Sdng,TA,BrkTil,698,Y,1396,1,0,3,1,7,Detchd,1,384,Y,2007,WD,153575
60,RL,15611,AllPub,CollgCr,5,2006,CompShg,VinylSd,TA,PConc,1079,Y,1919,2,1,3,1,8,Attchd,2,685,Y,2006,New,233230
190,RL,5687,AllPub,SWISU,6,1912,CompShg,VinylSd,Fa,PConc,780,N,1716,2,0,6,1,9,,0,0,N,2008,WD,135900
50,RL,11409,AllPub,Edwards,4,1949,CompShg,Wd Sdng,TA,CBlock,768,Y,1716,1,1,3,1,8,Attchd,1,281,Y,2009,WD,131000
60,RL,16659,AllPub,NWAmes,7,1977,CompShg,Plywood,TA,CBlock,795,Y,2263,2,1,3,1,9,Attchd,2,539,Y,2006,WD,235000
20,RL,9600,AllPub,NAmes,5,1953,CompShg,HdBoard,TA,CBlock,1416,Y,1644,1,0,3,1,7,Attchd,2,418,Y,2009,WD,167000
80,RL,7937,AllPub,Mitchel,6,1984,CompShg,HdBoard,TA,CBlock,1003,Y,1003,1,0,3,1,6,Detchd,2,588,Y,2006,WD,142500
50,RM,13710,AllPub,IDOTRR,5,1950,CompShg,Wd Sdng,TA,CBlock,910,Y,1558,1,1,4,1,6,Attchd,1,282,Y,2007,WD,152000
60,FV,7399,AllPub,Somerst,5,1997,CompShg,VinylSd,TA,PConc,975,Y,1950,2,1,3,1,7,Detchd,2,576,Y,2007,WD,239000
60,RL,11700,AllPub,NWAmes,6,1968,CompShg,HdBoard,TA,CBlock,702,Y,1743,1,2,3,1,7,Attchd,2,539,Y,2007,WD,175000
20,RL,14000,AllPub,Crawfor,8,1950,CompShg,HdBoard,Gd,CBlock,1092,Y,1152,1,0,3,1,6,Attchd,1,300,Y,2009,WD,158500
190,RL,15750,AllPub,Crawfor,5,1953,CompShg,MetalSd,TA,CBlock,1165,Y,1336,1,0,2,1,5,Attchd,1,375,Y,2006,WD,157000
60,RL,16226,AllPub,CollgCr,5,1998,CompShg,VinylSd,TA,PConc,1028,Y,2452,2,1,4,1,9,BuiltIn,2,683,Y,2007,WD,267000
20,RL,13704,AllPub,CollgCr,5,2001,CompShg,VinylSd,TA,PConc,1541,Y,1541,2,0,3,1,6,Attchd,3,843,Y,2006,WD,205000
20,RL,9800,AllPub,CollgCr,7,1972,CompShg,VinylSd,TA,PConc,894,Y,894,1,0,3,1,5,Attchd,2,552,Y,2006,WD,149900
75,RM,18386,AllPub,OldTown,9,1880,CompShg,CemntBd,TA,BrkTil,1470,Y,3493,3,0,3,1,10,Attchd,3,870,Y,2008,WD,295000
20,RL,10386,AllPub,CollgCr,5,2004,CompShg,CemntBd,TA,PConc,2000,Y,2000,2,0,3,1,8,Attchd,3,888,Y,2007,WD,305900
60,RL,13474,AllPub,SawyerW,5,1990,CompShg,HdBoard,TA,CBlock,700,Y,2243,2,1,4,1,8,Attchd,3,746,Y,2007,WD,225000
50,RM,7920,AllPub,IDOTRR,7,1920,CompShg,MetalSd,Fa,CBlock,319,Y,1406,1,0,3,1,6,,0,0,N,2008,WD,89500
30,RL,12342,AllPub,Edwards,5,1940,CompShg,VinylSd,TA,CBlock,861,Y,861,1,0,1,1,4,Detchd,2,539,Y,2009,WD,82500
20,RL,12378,AllPub,NridgHt,5,2003,CompShg,VinylSd,TA,PConc,1896,Y,1944,2,0,3,1,8,Attchd,3,708,Y,2006,WD,360000
60,RL,7685,AllPub,Gilbert,5,1993,CompShg,HdBoard,TA,PConc,697,Y,1501,2,1,3,1,6,Attchd,2,420,Y,2006,WD,165600
20,RL,8000,AllPub,NAmes,6,1948,CompShg,VinylSd,Gd,CBlock,972,Y,972,1,0,2,1,5,Detchd,1,240,Y,2009,WD,132000
190,RM,7800,AllPub,OldTown,7,1939,CompShg,MetalSd,TA,CBlock,793,Y,1118,1,0,3,1,5,Detchd,2,410,Y,2006,WD,119900
20,RL,215245,AllPub,Timber,5,1965,CompShg,BrkFace,TA,CBlock,2136,Y,2036,2,0,3,1,8,Attchd,2,513,Y,2009,WD,375000
70,RM,9600,AllPub,OldTown,7,1925,CompShg,Wd Sdng,TA,BrkTil,728,Y,1641,1,1,3,1,6,Detchd,2,546,Y,2006,WD,178000
60,RL,7795,AllPub,Gilbert,5,2004,CompShg,VinylSd,TA,PConc,716,Y,1432,2,1,3,1,6,Attchd,2,432,Y,2009,WD,188500
60,RL,13005,AllPub,NWAmes,7,1980,CompShg,CemntBd,TA,CBlock,845,Y,2353,2,1,4,1,10,Attchd,2,484,Y,2009,WD,260000
60,FV,9000,AllPub,Somerst,5,2006,CompShg,VinylSd,TA,PConc,1088,Y,1959,2,1,3,1,8,Attchd,3,1025,Y,2007,WD,270000
60,RL,9900,AllPub,NoRidge,5,1993,CompShg,HdBoard,TA,PConc,1347,Y,2646,2,1,4,1,9,Attchd,3,656,Y,2009,WD,260000
80,RL,14115,AllPub,NWAmes,5,1980,CompShg,Plywood,TA,CBlock,1372,Y,1472,2,0,3,1,6,Attchd,2,588,Y,2009,WD,187500
60,RL,16259,AllPub,NridgHt,5,2006,CompShg,VinylSd,TA,PConc,1249,Y,2596,3,1,4,1,9,Attchd,3,840,Y,2006,New,342643
60,RL,12099,AllPub,NridgHt,5,2004,CompShg,VinylSd,TA,PConc,1136,Y,2468,2,1,4,1,10,BuiltIn,3,872,Y,2007,WD,354000
60,RL,10380,AllPub,SawyerW,5,1986,CompShg,Plywood,TA,CBlock,1502,Y,2730,2,1,4,1,8,Attchd,2,576,Y,2007,WD,301000
20,RM,5820,AllPub,OldTown,8,1955,CompShg,VinylSd,Gd,CBlock,1162,Y,1163,1,0,3,1,6,Attchd,1,220,Y,2006,WD,126175
80,RL,11275,AllPub,NAmes,7,1967,WdShake,Wd Sdng,Gd,CBlock,710,Y,2978,2,1,5,1,11,BuiltIn,2,564,Y,2010,WD,242000
45,RM,5000,AllPub,IDOTRR,6,1941,CompShg,MetalSd,TA,CBlock,720,N,803,1,0,2,1,5,Detchd,2,360,Y,2007,WD,87000
120,RL,10846,AllPub,Veenker,5,1993,CompShg,BrkFace,TA,PConc,1719,Y,1719,1,1,1,1,6,Attchd,2,473,Y,2008,Con,324000
20,RL,11600,AllPub,NAmes,5,1960,CompShg,Wd Sdng,TA,CBlock,1383,Y,1383,1,1,3,1,7,Attchd,1,292,Y,2006,WD,145250
75,RL,11888,AllPub,BrkSide,6,1916,CompShg,Wd Sdng,TA,BrkTil,844,N,2134,2,0,5,1,10,Detchd,2,441,Y,2009,WD,214500
70,RM,6402,AllPub,IDOTRR,5,1920,CompShg,Wd Sdng,TA,PConc,596,N,1192,1,0,3,1,6,Detchd,1,189,N,2009,WD,78000
90,RL,10624,AllPub,NAmes,4,1964,CompShg,HdBoard,TA,CBlock,1728,Y,1728,2,0,6,2,10,Detchd,1,352,Y,2007,WD,119000
20,RL,8176,AllPub,NAmes,6,1958,CompShg,Wd Sdng,TA,CBlock,1056,Y,1056,1,0,3,1,6,Attchd,1,308,Y,2007,WD,139000
20,RL,10655,AllPub,NridgHt,5,2003,CompShg,VinylSd,TA,PConc,3206,Y,1629,2,0,3,1,7,Attchd,3,880,Y,2009,WD,284000
120,RM,8198,AllPub,NridgHt,5,2004,CompShg,VinylSd,TA,PConc,1358,Y,1358,2,0,2,1,6,Attchd,2,484,Y,2008,WD,207000
60,RL,9042,AllPub,Gilbert,5,1998,CompShg,VinylSd,TA,PConc,943,Y,1638,2,1,3,1,7,Attchd,2,472,Y,2008,WD,192000
190,RL,164660,AllPub,Timber,6,1965,CompShg,Plywood,TA,CBlock,1499,Y,1786,2,0,3,1,7,Attchd,2,529,Y,2008,WD,228950
